site_id,PM25,n_observed_days,longitude,latitude,PPTN,Tmin,Tmax,WS,RH,TCDC,sample_status
19-013-0009,12.49655172413793,29,-92.316017,42.501543,42.191389656066896,-10.564333603117202,-1.5384442779752943,3.722360274526808,85.31843134562175,48.94583375718859,public_source_reconstruction_pending_author_sample_comparison
19-045-0019,13.273563218390803,87,-90.211982,41.823283,39.05388749440511,-8.049999899334377,0.346666341357761,3.69287117852105,85.46079271104601,51.31805453830295,public_source_reconstruction_pending_author_sample_comparison
19-045-0021,13.186075949367089,79,-90.177574,41.874999,37.027500247955324,-8.292334265179104,0.28999987840652464,3.6925555017259386,85.46079271104601,51.31805453830295,public_source_reconstruction_pending_author_sample_comparison
19-055-0001,12.646428571428572,28,-91.538493,42.600834,48.61222432454427,-11.588666518529257,-1.9443331480026245,3.694180146853129,86.74820649888781,49.93888948228624,public_source_reconstruction_pending_author_sample_comparison
19-103-2001,13.277215189873418,79,-91.503478,41.657232,37.61416477627225,-7.855222188101875,1.977000003390842,3.757961042722066,83.98674791124132,49.51666709052192,public_source_reconstruction_pending_author_sample_comparison
19-111-0008,14.12857142857143,28,-91.391012,40.400959,55.11472074720594,-6.688556509547763,2.230222283469306,3.8287568357255726,82.77312104966906,49.10138931274414,public_source_reconstruction_pending_author_sample_comparison
19-113-0037,12.239285714285714,28,-91.6793,42.00508,42.47194239298503,-7.831445296605428,0.6308887402216593,3.7364276382658215,84.50410741170248,49.7694445292155,public_source_reconstruction_pending_author_sample_comparison
19-113-0040,12.213333333333335,90,-91.68766,41.97677,36.47111228307088,-8.089554993311564,0.6381109264161852,3.7447876850763957,84.50410741170248,49.7694445292155,public_source_reconstruction_pending_author_sample_comparison
19-137-0002,10.13076923076923,26,-95.044951,40.969112,41.792500813802086,-10.195777209599813,1.1071110725402833,3.947681368721856,84.84299901326497,43.89722357855903,public_source_reconstruction_pending_author_sample_comparison
19-139-0015,14.855172413793104,87,-91.067957,41.400968,52.183890151977536,-7.497222259309557,1.2715557098388672,3.740568918652005,84.47919514973958,50.19305547078451,public_source_reconstruction_pending_author_sample_comparison
19-139-0016,12.951724137931036,29,-91.070975,41.419429,52.183890151977536,-7.497222259309557,1.2715557098388672,3.740568918652005,84.47919514973958,50.19305547078451,public_source_reconstruction_pending_author_sample_comparison
