"dataset","network","task","generator","z_rmse","generator_z_only_hit_rate","generator_mean_nmse"
"meuse",11,"known_network","polynomial",0.786821177400296,0.901960784313726,0.0712065532539787
"georgia",12,"known_network","polynomial",0.762720492842723,0.952645502645503,0.054655411840257
"meuse",12,"known_network","polynomial",0.855715960879365,0.852941176470588,0.0876669690053594
"georgia",13,"known_network","polynomial",0.863177362458186,0.896296296296296,0.0705246232629606
"meuse",13,"known_network","polynomial",0.73090958566424,0.96078431372549,0.0666306523727837
"georgia",14,"known_network","polynomial",0.745805000287657,0.943121693121693,0.0496419268843896
"meuse",14,"known_network","polynomial",0.814830246155592,0.872549019607843,0.0798782187754172
"georgia",15,"known_network","polynomial",0.787491904811505,0.943650793650794,0.054779137766997
"meuse",15,"known_network","polynomial",0.782744151582553,0.882352941176471,0.0695233687028483
"georgia",16,"known_network","polynomial",0.76233150414623,0.952910052910053,0.0504315630409871
"meuse",16,"known_network","polynomial",0.766966424991493,0.911764705882353,0.0686064025338985
"georgia",17,"known_network","polynomial",0.731390417830016,0.952910052910053,0.0464164375199935
"meuse",17,"known_network","polynomial",0.766966424991493,0.882352941176471,0.0642795958754775
"georgia",18,"known_network","polynomial",0.674447394626157,0.962433862433862,0.0381795656829273
"meuse",18,"known_network","polynomial",0.743536029072432,0.931372549019608,0.0696223594441275
"georgia",19,"known_network","polynomial",0.833481821914432,0.905555555555556,0.0611470730040497
"meuse",19,"known_network","polynomial",0.793720428261122,0.92156862745098,0.0698248048995052
"georgia",20,"known_network","polynomial",0.762720492842723,0.952910052910053,0.0523627700740479
"meuse",20,"known_network","polynomial",0.831171416163092,0.833333333333333,0.0766569454818889
