"dataset","cv_scheme","estimator","n","response","rmse","mae","rmse_sd","mae_sd","duration_sec","aicc","logLik","spatial_param","spatial_value","moran_i","moran_abs","moran_p_value","moran_error","n_resamples","n_failed_resamples","fit_error"
"georgia","near_prediction","ols",80,"PctBach",3.99921743916771,2.90555593161685,1.6254783863288,1.18953394964742,0.190000000000001,887.311110549388,-437.37923948522,NA,NA,-0.142857142857143,0.142857142857143,0.5,NA,10,0,NA
"georgia","near_prediction","gam_spatial",80,"PctBach",3.74172527050891,2.73562601819124,1.46802642877523,1.08298695673715,0.239999999999998,872.797619360557,-422.778386484941,NA,NA,-0.142857142857143,0.142857142857143,0.49999999929941,NA,10,0,NA
"georgia","near_prediction","sar_lag",80,"PctBach",4.98644695359083,3.37153730966787,1.82215894831925,1.220130402574,4.08999999999999,877.342192474997,-431.300235310346,"rho",0.344696930368055,-0.142857142857143,0.142857142857143,0.416666667238696,NA,10,0,NA
"georgia","near_prediction","sem_error",80,"PctBach",4.01535153738079,2.89864317157861,1.62522366870999,1.15045232710726,3.93,882.32339697698,-433.790837561337,"lambda",0.359294211798789,-0.142857142857143,0.142857142857143,0.499999999159292,NA,10,0,NA
"georgia","near_prediction","sdm_mixed",80,"PctBach",4.31571890811004,3.04928935354848,1.8931381108012,1.3962027868483,3.72,878.170638186365,-427.187359909509,"rho",0.3651704883113,-0.13228540906593,0.196334080829532,0.520291803791626,NA,10,0,NA
"georgia","near_prediction","mgwrsar_gwr",80,"PctBach",3.34272297931656,2.36179859897669,1.392033017227,0.950105094807892,0.409999999999997,NA,NA,NA,NA,-0.142857142857143,0.142857142857143,0.499999998318584,NA,10,0,NA
"georgia","near_prediction","spboost_bspa_sar_ml",80,"PctBach",3.87193872080845,2.75178353967843,1.77463420587792,1.28173812723142,3.46,3870.02067291274,-1798.4573952799,"rho",0.311308760560029,-0.161056885396303,0.215314461953669,0.579875447005349,NA,10,0,NA
"georgia","near_prediction","spboost_bspa_sem_ml",80,"PctBach",4.04823441986634,2.91218227172733,1.65073605019032,1.2529004721587,4.14000000000001,4134.79825337148,-1930.84618550927,"lambda",0.263911916552419,-0.142857142857143,0.142857142857143,0.416666667367257,NA,10,0,NA
"georgia","near_prediction","random_forest",80,"PctBach",4.01402926907831,2.79636020833333,1.82952516347282,1.29189672916328,0.259999999999998,NA,NA,NA,NA,-0.142857142857143,0.142857142857143,0.571428570828066,NA,10,0,NA
"georgia","near_prediction","xgboost",80,"PctBach",4.08088646251074,2.76605702161789,2.11456724583549,1.42029387106395,0.680000000000007,NA,NA,NA,NA,-0.142857142857143,0.142857142857143,0.499999999570978,NA,10,0,NA
"london_hp","near_prediction","ols",90,"PURCHASE",44106.3972365285,30475.5710538013,16359.9111081096,9896.68560485249,0.239999999999998,7667.29841553198,-3828.55243357244,NA,NA,-0.125,0.125,0.75,NA,10,0,NA
"london_hp","near_prediction","gam_spatial",90,"PURCHASE",37068.4168845158,24417.4195879978,14441.0188790875,7334.63934429543,0.290000000000003,7580.33440916226,-3768.78619483772,NA,NA,-0.125,0.125,1,NA,10,0,NA
